spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,runtime
4.0,3.0,8.0,43.0,0.0,1.0,244.0,116.0,116.0,4.0,1428178007.0,0.75,1.0,661.0,0.88,1.0,1875477686.0,1106091712.0,57.0,1.0,587.0,0.0,37.0,5.0,420.0,0.63,3.0,234.984
2.0,3.0,4.0,6.0,0.0,1.0,464.0,68.0,112.0,7.0,1124309381.0,0.72,0.0,797.0,0.52,0.0,1937820077.0,1338146319.0,49.0,1.0,769.0,0.0,31.0,5.0,443.0,0.79,9.0,396.432
3.0,7.0,3.0,45.0,1.0,0.0,278.0,51.0,96.0,6.0,1121152347.0,0.89,1.0,822.0,0.59,1.0,1165724013.0,1268766116.0,35.0,1.0,630.0,1.0,40.0,4.0,109.0,0.71,3.0,266.086
2.0,2.0,2.0,30.0,1.0,1.0,227.0,128.0,33.0,6.0,1102708735.0,0.81,0.0,943.0,0.65,1.0,1666345617.0,1631644484.0,55.0,1.0,506.0,1.0,46.0,5.0,358.0,0.51,7.0,573.706
2.0,5.0,2.0,44.0,1.0,1.0,408.0,41.0,117.0,5.0,1996832904.0,0.73,0.0,1023.0,0.56,0.0,1625184201.0,1691471810.0,37.0,1.0,572.0,0.0,45.0,4.0,188.0,0.71,8.0,300.93
4.0,6.0,4.0,61.0,1.0,0.0,218.0,105.0,50.0,7.0,2077519895.0,0.75,0.0,814.0,0.89,0.0,1146224874.0,1817611018.0,68.0,1.0,593.0,0.0,19.0,2.0,187.0,0.67,4.0,204.295
2.0,8.0,8.0,14.0,1.0,1.0,331.0,86.0,107.0,5.0,1155693316.0,0.84,0.0,819.0,0.8,1.0,1121189216.0,1575339535.0,72.0,1.0,717.0,1.0,23.0,3.0,419.0,0.51,4.0,270.865
3.0,4.0,7.0,11.0,0.0,1.0,246.0,71.0,74.0,5.0,2054869911.0,0.78,1.0,795.0,0.85,0.0,1074250410.0,1733697178.0,47.0,1.0,584.0,1.0,26.0,5.0,442.0,0.53,7.0,800.677
2.0,5.0,8.0,56.0,1.0,1.0,269.0,110.0,45.0,8.0,1352920067.0,0.86,1.0,762.0,0.88,1.0,1956834074.0,1330525389.0,25.0,1.0,613.0,0.0,16.0,1.0,398.0,0.77,8.0,294.584
1.0,4.0,8.0,52.0,0.0,1.0,267.0,47.0,48.0,5.0,1153347223.0,0.81,1.0,1006.0,0.86,1.0,1872880118.0,1393494453.0,61.0,1.0,792.0,0.0,42.0,1.0,448.0,0.84,10.0,522.314
